Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2009-05-12,1.54,1.62,1.5101,1.59,45700.0,0.0,1.0,15.4,16.200000000000006,15.101,15.9,4570.0
2009-05-11,1.6099,1.64,1.56,1.59,32900.0,0.0,1.0,16.099,16.4,15.6,15.9,3290.0
2009-05-08,1.5301,1.62,1.5,1.6,36000.0,0.0,1.0,15.300999999999998,16.200000000000006,15.0,16.0,3600.0
2009-05-07,1.42,1.55,1.4,1.53,107500.0,0.0,1.0,14.2,15.5,14.0,15.3,10750.0
2009-05-06,1.55,1.55,1.41,1.5,60000.0,0.0,1.0,15.5,15.5,14.1,15.0,6000.0
2009-05-05,1.55,1.55,1.48,1.55,57900.0,0.0,1.0,15.5,15.5,14.8,15.5,5790.0
2009-05-04,1.4,1.51,1.38,1.51,245700.0,0.0,1.0,14.0,15.1,13.8,15.1,24570.0
2009-05-01,1.43,1.43,1.39,1.39,366100.0,0.0,1.0,14.3,14.3,13.9,13.9,36610.0
2009-04-30,1.45,1.45,1.39,1.4,335300.0,0.0,1.0,14.5,14.5,13.9,14.0,33530.0
2009-04-29,1.5799,1.59,1.42,1.45,411100.0,0.0,1.0,15.799,15.9,14.2,14.5,41110.0
2009-04-28,1.6,1.65,1.5,1.5,222800.0,0.0,1.0,16.0,16.5,15.0,15.0,22280.0
2009-04-27,1.74,1.75,1.63,1.71,17900.0,0.0,1.0,17.4,17.5,16.299999999999994,17.1,1790.0
2009-04-24,1.72,1.73,1.68,1.73,9500.0,0.0,1.0,17.2,17.3,16.8,17.3,950.0
2009-04-23,1.7,1.74,1.7,1.74,1700.0,0.0,1.0,17.0,17.4,17.0,17.4,170.0
2009-04-22,1.74,1.76,1.73,1.75,28300.0,0.0,1.0,17.4,17.6,17.3,17.5,2830.0
2009-04-21,1.81,1.82,1.74,1.74,17600.0,0.0,1.0,18.1,18.2,17.4,17.4,1760.0
2009-04-20,1.8401,1.8401,1.79,1.82,12200.0,0.0,1.0,18.401,18.401,17.9,18.2,1220.0
2009-04-17,1.94,1.94,1.8,1.84,4200.0,0.0,1.0,19.4,19.4,18.0,18.4,420.0
2009-04-16,1.821,2.0,1.821,2.0,10100.0,0.0,1.0,18.21,20.0,18.21,20.0,1010.0
2009-04-15,1.84,1.88,1.75,1.88,5800.0,0.0,1.0,18.4,18.8,17.5,18.8,580.0
2009-04-14,1.85,1.93,1.84,1.9,27100.0,0.0,1.0,18.5,19.3,18.4,19.0,2710.0
2009-04-13,1.9501,1.955,1.7313,1.91,21800.0,0.0,1.0,19.501,19.55,17.313000000000002,19.1,2180.0
2009-04-09,1.94,2.0,1.92,2.0,84400.0,0.0,1.0,19.4,20.0,19.2,20.0,8440.0
2009-04-08,1.96,2.0,1.956,1.97,15600.0,0.0,1.0,19.6,20.0,19.56,19.7,1560.0
2009-04-07,1.9299,1.955,1.89,1.95,9500.0,0.0,1.0,19.299,19.55,18.9,19.5,950.0
2009-04-06,1.99,2.0,1.9,1.91,43500.0,0.0,1.0,19.9,20.0,19.0,19.1,4350.0
2009-04-03,1.94,2.0,1.869,1.95,224300.0,0.0,1.0,19.4,20.0,18.69,19.5,22430.0
2009-04-02,1.88,1.92,1.86,1.88,47800.0,0.0,1.0,18.8,19.2,18.6,18.8,4780.0
2009-04-01,1.7619999999999998,1.87,1.73,1.87,20400.0,0.0,1.0,17.62,18.700000000000006,17.3,18.700000000000006,2040.0
2009-03-31,1.76,1.9,1.75,1.82,13900.0,0.0,1.0,17.6,19.0,17.5,18.2,1390.0
2009-03-30,1.63,1.88,1.58,1.77,6700.0,0.0,1.0,16.299999999999994,18.8,15.8,17.7,670.0
2009-03-27,1.65,1.68,1.64,1.68,3400.0,0.0,1.0,16.5,16.8,16.4,16.8,340.0
2009-03-26,1.56,1.72,1.5299,1.67,135500.0,0.0,1.0,15.6,17.2,15.299000000000001,16.7,13550.0
2009-03-25,1.45,1.7,1.45,1.59,14200.0,0.0,1.0,14.5,17.0,14.5,15.9,1420.0
2009-03-24,1.42,1.49,1.39,1.47,3100.0,0.0,1.0,14.2,14.9,13.9,14.7,310.0
2009-03-23,1.54,1.54,1.4899,1.5,41800.0,0.0,1.0,15.4,15.4,14.899,15.0,4180.0
2009-03-20,1.56,1.6,1.54,1.6,17900.0,0.0,1.0,15.6,16.0,15.4,16.0,1790.0
2009-03-19,1.61,1.65,1.55,1.57,7100.0,0.0,1.0,16.1,16.5,15.5,15.7,710.0
2009-03-18,1.45,1.55,1.45,1.54,14600.0,0.0,1.0,14.5,15.5,14.5,15.4,1460.0
2009-03-17,1.32,1.45,1.32,1.45,23400.0,0.0,1.0,13.2,14.5,13.2,14.5,2340.0
2009-03-16,1.29,1.3501,1.28,1.35,33800.0,0.0,1.0,12.9,13.501,12.8,13.5,3380.0
2009-03-13,1.31,1.35,1.25,1.31,3600.0,0.0,1.0,13.1,13.5,12.5,13.1,360.0
2009-03-12,1.3,1.36,1.2,1.3,50300.0,0.0,1.0,13.0,13.6,12.0,13.0,5030.0
2009-03-11,1.31,1.33,1.29,1.29,2800.0,0.0,1.0,13.1,13.3,12.9,12.9,280.0
2009-03-10,1.36,1.37,1.32,1.35,23000.0,0.0,1.0,13.6,13.7,13.2,13.5,2300.0
2009-03-09,1.32,1.35,1.06,1.22,270800.0,0.0,1.0,13.2,13.5,10.6,12.2,27080.0
2009-03-06,1.37,1.3998,1.32,1.36,22200.0,0.0,1.0,13.7,13.998,13.2,13.6,2220.0
2009-03-05,1.43,1.44,1.35,1.4,18900.0,0.0,1.0,14.3,14.4,13.5,14.0,1890.0
2009-03-04,1.42,1.5,1.37,1.43,10000.0,0.0,1.0,14.2,15.0,13.7,14.3,1000.0
2009-03-03,1.56,1.56,1.41,1.46,276800.0,0.0,1.0,15.6,15.6,14.1,14.6,27680.0
2009-03-02,1.6,1.67,1.41,1.59,39400.0,0.0,1.0,16.0,16.7,14.1,15.9,3940.0
2009-02-27,1.65,1.71,1.65,1.67,45400.0,0.0,1.0,16.5,17.1,16.5,16.7,4540.0
2009-02-26,1.73,1.76,1.69,1.7,53400.0,0.0,1.0,17.3,17.6,16.9,17.0,5340.0
2009-02-25,1.81,1.82,1.7,1.71,173500.0,0.0,1.0,18.1,18.2,17.0,17.1,17350.0
2009-02-24,1.81,1.87,1.75,1.85,15900.0,0.0,1.0,18.1,18.700000000000006,17.5,18.5,1590.0
2009-02-23,1.91,1.93,1.81,1.8199,14100.0,0.0,1.0,19.1,19.3,18.1,18.199,1410.0
2009-02-20,1.88,1.94,1.87,1.91,19800.0,0.0,1.0,18.8,19.4,18.700000000000006,19.1,1980.0
2009-02-19,1.99,1.99,1.87,1.8901,10400.0,0.0,1.0,19.9,19.9,18.700000000000006,18.901,1040.0
2009-02-18,1.88,1.91,1.8596,1.87,9500.0,0.0,1.0,18.8,19.1,18.596,18.700000000000006,950.0
2009-02-17,1.97,1.99,1.85,1.88,167400.0,0.0,1.0,19.7,19.9,18.5,18.8,16740.0
2009-02-13,2.0,2.0,1.97,1.97,31500.0,0.0,1.0,20.0,20.0,19.7,19.7,3150.0
2009-02-12,1.9966,2.0,1.9201,1.99,38400.0,0.0,1.0,19.965999999999998,20.0,19.201,19.9,3840.0
2009-02-11,2.01,2.01,1.96,2.0,16800.0,0.0,1.0,20.1,20.1,19.6,20.0,1680.0
2009-02-10,2.02,2.02,1.95,1.99,57200.0,0.0,1.0,20.2,20.2,19.5,19.9,5720.0
2009-02-09,2.0,2.02,1.99,2.0,46500.0,0.0,1.0,20.0,20.2,19.9,20.0,4650.0
2009-02-06,1.95,2.0,1.95,2.0,40800.0,0.0,1.0,19.5,20.0,19.5,20.0,4080.0
2009-02-05,2.06,2.09,1.99,2.0,64100.0,0.0,1.0,20.6,20.9,19.9,20.0,6410.0
2009-02-04,2.07,2.1,2.03,2.05,117600.0,0.0,1.0,20.7,21.0,20.3,20.5,11760.0
2009-02-03,2.06,2.1,2.03,2.08,44600.0,0.0,1.0,20.6,21.0,20.3,20.8,4460.0
2009-02-02,2.06,2.1,2.04,2.07,44600.0,0.0,1.0,20.6,21.0,20.4,20.7,4460.0
2009-01-30,2.0991,2.1,2.05,2.07,19900.0,0.0,1.0,20.991,21.0,20.5,20.7,1990.0
2009-01-29,2.0856,2.1,2.04,2.07,4900.0,0.0,1.0,20.856,21.0,20.4,20.7,490.0
2009-01-28,2.15,2.2,2.02,2.1,70300.0,0.0,1.0,21.5,22.0,20.2,21.0,7030.0
2009-01-27,2.11,2.14,2.02,2.1,68300.0,0.0,1.0,21.1,21.4,20.2,21.0,6830.0
2009-01-26,2.09,2.2,2.09,2.12,42600.0,0.0,1.0,20.9,22.0,20.9,21.200000000000006,4260.0
2009-01-23,2.16,2.17,2.05,2.07,88500.0,0.0,1.0,21.6,21.7,20.5,20.7,8850.0
2009-01-22,2.21,2.3,2.09,2.15,64400.0,0.0,1.0,22.1,23.0,20.9,21.5,6440.0
2009-01-21,2.13,2.3,2.13,2.28,79400.0,0.0,1.0,21.3,23.0,21.3,22.8,7940.0
2009-01-20,2.05,2.244,2.05,2.1,222900.0,0.0,1.0,20.5,22.44,20.5,21.0,22290.0
2009-01-16,2.18,2.24,2.12,2.12,68200.0,0.0,1.0,21.8,22.4,21.200000000000006,21.200000000000006,6820.0
2009-01-15,2.15,2.24,2.13,2.17,79800.0,0.0,1.0,21.5,22.4,21.3,21.7,7980.0
2009-01-14,2.15,2.18,2.13,2.15,60200.0,0.0,1.0,21.5,21.8,21.3,21.5,6020.0
2009-01-13,2.15,2.2,2.04,2.15,131400.0,0.0,1.0,21.5,22.0,20.4,21.5,13140.0
2009-01-12,2.21,2.28,2.14,2.15,62600.0,0.0,1.0,22.1,22.8,21.4,21.5,6260.0
2009-01-09,2.17,2.26,2.15,2.21,20000.0,0.0,1.0,21.7,22.6,21.5,22.1,2000.0
2009-01-08,2.17,2.2,2.15,2.17,17100.0,0.0,1.0,21.7,22.0,21.5,21.7,1710.0
